RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y CorneaX CorneaY CorneaZ
6 939.697607 674.446220 931.500297 691.725993 948.436495 686.202309 -11.320037 22.925744 457.869852
6 939.776722 674.535680 931.468753 691.794480 948.436495 686.202309 -11.314466 22.926386 457.931149
6 939.728829 674.424541 931.483675 691.757284 948.436495 686.202309 -11.309230 22.923702 457.932267
6 939.728358 674.325200 931.458622 691.579946 948.436570 685.935436 -11.315654 22.907687 458.001782
6 939.789668 674.325282 931.468783 691.556240 948.447605 685.979679 -11.309989 22.906008 458.008331
6 939.765883 674.305672 931.458622 691.579946 948.436570 685.935436 -11.312701 22.904348 458.018000
6 939.770996 674.269237 931.458622 691.579946 948.398413 686.068883 -11.310306 22.912895 458.018347
6 939.995142 674.548506 931.685739 691.852331 948.503129 686.202291 -11.286567 22.920550 457.782706
6 939.937083 674.604898 931.708672 691.875689 948.503129 686.202291 -11.269836 22.919379 457.817628
7 923.118428 676.115974 920.200774 693.085707 936.809214 687.612395 -12.961576 23.111171 457.509492
7 922.839229 675.912173 919.950650 692.965666 936.578432 687.458405 -13.020411 23.085956 457.523173
7 922.741485 675.866362 919.865544 692.830243 936.462998 687.359437 -13.027326 23.074130 457.558433
7 922.942143 675.765096 919.930317 692.758937 936.578432 687.458405 -13.026421 23.075807 457.499701
7 923.236850 675.106565 920.305435 692.084527 937.213623 686.739449 -12.980031 22.987874 457.388352
7 923.397651 674.972196 920.525695 691.895628 937.348389 686.457112 -12.949917 22.935121 457.393963
7 923.508646 674.724209 920.531482 691.844169 937.348389 686.457112 -12.932245 22.930409 457.451887
7 923.408355 674.813328 920.493200 691.729954 937.463886 686.358072 -12.930006 22.911883 457.518006
7 923.882012 674.601167 920.951867 691.583716 937.600424 686.163026 -12.845204 22.881061 457.294949
7 924.356794 674.312435 921.380822 691.409859 937.782412 685.889986 -12.776223 22.860030 457.256665
7 924.332087 674.295550 921.383808 691.384263 937.782412 685.889986 -12.782036 22.862682 457.247931
7 924.282867 674.261912 921.389757 691.333270 937.782412 685.889986 -12.762667 22.851072 457.197136
7 924.298366 674.292435 921.389757 691.333270 937.782412 685.889986 -12.764001 22.842868 457.225684
7 924.285195 674.282630 921.386800 691.304338 937.782412 685.889986 -12.763872 22.841257 457.205002
7 924.258852 674.263021 921.380884 691.246475 937.782412 685.889986 -12.782422 22.847198 457.188955
7 924.190931 674.206190 921.306449 691.208160 937.782412 685.889986 -12.789418 22.845276 457.202916
7 924.189496 674.219501 921.306449 691.208160 937.782412 685.889986 -12.785702 22.843383 457.193414
7 924.186615 674.246229 921.306449 691.208160 937.782412 685.889986 -12.779195 22.837407 457.235844
7 924.199867 674.116602 921.250135 691.146913 937.782412 685.889986 -12.785356 22.830063 457.112015
7 923.936179 674.208677 920.993747 691.187354 937.579563 685.687038 -12.835516 22.831373 457.187545
7 923.912439 674.267154 920.952245 691.191895 937.613843 685.777089 -12.843866 22.839793 457.199753
7 923.378175 674.379518 920.451583 691.443747 937.036972 685.879332 -12.921385 22.857205 457.211833
7 923.379959 674.461503 920.451583 691.443747 936.963759 685.872022 -12.908377 22.850305 457.193170
7 923.282518 674.409487 920.380147 691.410236 936.781851 685.890297 -12.920439 22.848008 457.100038
7 923.228826 674.390420 920.328753 691.392903 936.775761 685.950962 -12.933411 22.850604 457.090507
7 923.121441 674.352287 920.225963 691.358236 936.763582 686.072292 -12.962510 22.861780 457.099338
7 923.111399 674.347690 920.218999 691.371456 936.763582 686.072292 -12.968773 22.864344 457.085662
7 923.091470 674.338568 920.205180 691.397691 936.763582 686.072292 -12.962091 22.861829 457.069227
7 923.071619 674.329482 920.191414 691.423823 936.763582 686.072292 -12.960583 22.860064 457.064662
7 923.025095 674.316685 920.138040 691.437192 936.769672 686.011627 -12.969106 22.859005 457.085017
7 922.945871 674.481148 919.999496 691.435916 936.654616 686.011743 -12.998315 22.862418 457.086712
7 922.940694 674.463353 919.992966 691.458938 936.599919 685.981349 -12.998165 22.860063 457.099271
7 922.933965 674.489878 919.966298 691.423733 936.554535 686.011616 -13.002058 22.858901 457.116074
