RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y GazeX GazeY GazeZ
5 939.713858 674.464873 931.438291 691.725868 948.447731 686.253819 77.275357 -259.058027 -99.996615
5 939.776722 674.535680 931.468753 691.794480 948.436495 686.202309 74.455696 -257.840974 -100.317934
5 939.819364 674.463702 931.427978 691.651435 948.436495 686.202309 74.164141 -257.623966 -100.384868
5 939.808584 674.375223 931.458622 691.579946 948.436495 686.202309 74.040648 -257.222906 -100.527531
5 939.789668 674.325282 931.468783 691.556240 948.447605 685.979679 73.239355 -255.663211 -101.067685
5 939.913252 674.325448 931.489265 691.508456 948.469849 686.068863 73.392917 -255.573586 -101.107836
5 939.765883 674.305672 931.458622 691.579946 948.436570 685.935436 73.893884 -255.610898 -101.116908
5 939.838807 674.291131 931.458622 691.579946 948.453314 685.858856 74.503316 -255.529849 -101.174697
5 939.911165 674.276704 931.458622 691.579946 948.469929 685.782871 75.277908 -255.545679 -101.204203
5 939.887948 674.295361 931.458622 691.579946 948.469902 685.878201 75.277477 -255.320134 -101.287584
5 939.841514 674.332675 931.458622 691.579946 948.469849 686.068863 76.022952 -255.494372 -101.257185
5 939.798846 674.344138 931.468783 691.556240 948.480909 686.024614 76.769853 -255.425400 -101.316784
5 939.958584 674.295508 931.639559 691.505301 948.508412 685.914895 77.806253 -255.444716 -101.356952
